Id|Name|Description|Price|PriceCurrency|SupplyAbility|MinimumOrder
d2559c95-bd28-49d8-b53a-538c34a25bcb|Saucony Men's Kinvara 13 Running Shoe|When it comes to lightweight speed, nothing crushes the competition like the Kinvara. And this just so happens to be our lightest one yet. With more speed contouring and its signature flexible feel, it pushes you forward without holding anything back. These are the shoes you’ll do big things in.|600.93|USD|396|574
c0717df8-fd27-4355-9c06-a8ad1ebb3e95|Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)|About this item Heavy duty construction and rugged design for long lasting use Angled head and rubber coated handle for easy gripping Large, easy-to-read backlit LCD display; Easily switch between psi, bar, kPa, kg/cm2 Equipped with an automatic shut off to conserve battery life Accurate to within 0.5 PSI, reading air pressure from 5-150 PSI in 0.5 pound increments; Includes replaceable Alkaline LR44 1.5V coin cell batteries|476.98|USD|288|993
29ea5156-8582-4345-8672-65a8f4c1e30c|SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2)|This extraordinary fusion is designed to nourish, strengthen, and rejuvenate your hair, bringing it into profound harmony with the forces of nature. For centuries, Adivasi communities have held the key to nature's secret beauty rituals, and now, we invite you to unlock these ancient mysteries. Allow your hair to luxuriate in the rich traditions of the Adivasi people, as they have woven their wisdom into this time-honored, transcendent elixir. BENEFITS. 1 Reduces hair fall 2 Boosts hair growth 3 Moisturizes hair breakage 4 Moisturizes scalp 5 Adds shine to hair strands|216.74|EUR|640|707
cb17beb7-30f0-4857-8793-4a6df0983fa3|crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids|About this item 🌟 High Quality Sewing Box 🌟 Made from food grade plastic, this crafts tool box is lightweight, dust proof, moisture proof and durable. 🌟 Multifunction Box Organizer 🌟 Not only it is a tool organizers, but also a craft box, sewing organizer box, first aid box, medicine box and tackle box organizer. 🌟 Portable Storage Box 🌟 13.2*7.2*6.7 inches, three layers, with 1 big grid and 6 small grids. Clear plastic material help you to find items easily and quickly. 🌟 Perfect Craft Box 🌟 Folding three layers design, you can sort items quickly and solve the problem of messy items, just make a clean and tidy space for you. 🌟 Nice Gift 🌟 This multipurpose storage box will be a great gift. Sewing organizer box, tackle box organizer, art supplies storage box, it can be given to anyone! › See more product details|84.4|EUR|85|923
b2d75b67-64f3-4ecd-82e6-47ff8e934c37|"Ridgid 62990 T-201 5"" Straight Auger"|The product is 62990 AUGER, T201 STRAIGHT 5/8 CABLE|219.11|EUR|350|120
9c8f0f5b-1d72-49d3-8b85-3a2d5edbff25|Samsung Odyssey Neo G8 (LS32BG850NUX)|The Samsung Odyssey Neo G8 is a high-performance gaming monitor featuring a 32-inch 4K curved display with a 240Hz refresh rate and Quantum Matrix Technology for stunning visuals and smooth gameplay.|999.99|USD|2500|10
11c8616b-05b1-4059-850c-f10f325581d6|Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging|Empowering women to reach their full potential is at the heart of what we do. Because when you’re wearing Core 10, you’re ready to experience more. Be more. Live more.|172.79|USD|128|337
c71cde8a-959b-41fb-840d-67ea9d6718d1|Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)|Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)|239.55|EUR|701|525
26d73c38-c4c4-4f4d-82df-08a718ad113d|PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding|About this item EXQUISITE DESIGN: Our pink plastic plates use a classic round plates, decorated with a gold line around the edge of the plates. Our pink party plates can help you better arrange the table and make the food look more delicious. VALUE PACKAGE: Our pink disposable plates include 50 pink dinner plates and 50 pink dessert plates, which can meet the dining needs of 50 guests. MANY OCCASIONS FOR USE: Our pink plates for party are very suitable for use at family gatherings, birthday parties, weddings. Our pink and gold plates can help you add a festive atmosphere. SAFE AND NON-TOXIC: Our pink plates are made of food-grade materials and can be used with confidence. Our pink plates disposable are BPA-free, safe and non-toxic. CONVENIENT AND FAST: Our pink and gold plastic plates can help you set the table faster and better display your food. You can just throw it away after the party, saving time and spending more time with family and friends.|473.09|USD|592|5
c0fa9606-bbb5-44ef-8b9a-4388ad4bbf7d|Apple MacBook Pro 16-inch (2023)|The Apple MacBook Pro 16-inch (2023) comes with a powerful M1 Max chip, stunning Liquid Retina XDR display, and up to 64GB of RAM, perfect for creative professionals and heavy workloads.|2499.99|USD|1500|5
7a6b3d42-d14a-47e3-9d6d-dca1ca163e4c|2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah|About this item The Cell9102 Advantage : Professional power tool battery manufacturing factory, with dozens of research and development team. So that you can use the battery more efficiently to bring convenience to your life What You Get : Cell9102 2Packs replacement 18V battery and Charger Starter Kit, 18V 3000mAh lithium Ion P108 and P118B 18V battery charger Ultra-High Capacity : This item replacement 18V battery has a Extended capacity of 3,000 mAh and use high-quality lithium-ion cells Certified Safe : Cell9102's replacement 18V battery and charger has MultiProtect safety system ensures complete protection for you and your devices Performance : The Replacement 18V battery and charger use high quality battery cell made by integrated microchip technology, built-in overcharge, over-discharge protection to extend battery life, batteries are CE FCC, ROHS certified, tested by manufacturer to match or exceed OEM products|471.81|EUR|203|629
d519c2be-d20a-458f-af02-55d17206acd2|General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey|Ideal for DIYers, homeowners, handymen, and mechanics, the General Tools #WS-1201 Retractable Utility Knife set gets the job done safer and faster.|108.83|EUR|166|445
7fdf47c6-f7c8-42ea-981a-a955f50daa8b|NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)|NZND Glitter Flowing Liquid Floating Gradient Colorful with Sparkling Bling Diamond, Durable Girls Women Cute Case.|84.09|USD|63|583
d1379ac9-8728-4623-b80c-c39e4931d8e9|Sony WH-1000XM5|Sony WH-1000XM5 headphones provide industry-leading noise cancellation, superior sound quality, and 30 hours of battery life for uninterrupted music and calls.|349.99|USD|4000|1
46d09a20-0aee-4b92-8775-aedad693efeb|Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable|Introducing the beauty set 5, The Starter 5-in-1 hair removal & Beauty set for face and body. Epilate, shave, trim, cleanse, exfoliate and apply creams and makeup. 1x Body exfoliation brush Attachment removes dead skin cells, to prevent ingrown hairs. Epilator removes 4x shorter hair than wax for up to 4 weeks of smooth skin. Includes a shaver & trimmer attachment for hair removal in sensitive areas. 3x Facial brush attachments to cleanse and exfoliate. Cordless use up to 30 mins. 100% wet and dry. Use in the bath or shower to reduce discomfort. Epilation is virtually painless with regular use. Braun Epilators (SE5, SE7, SE9, SE9 Flex) are GreenCircle certified as a ‘sustainable solution with certified energy savings’. The other accessories and attachments in the box were not assessed by GreenCircle.|248.54|EUR|724|895
278dcd8a-784a-4eb7-8a11-3b8f8c44882c|"Aqua Select Resin Step in a Box White | Ultra Sturdy Steps"|"The Aqua Select Resin Steps are ultra-sturdy due to their injection molding and integrated segment construction for superior strength. The steps will not sag or flex as well as requiring no weights to keep it in place. With the included handrails and bracket you can mount them to your pool deck. Also included is a complimentary 56"" x 46"" liner guard to protect your steps and the pool's bottom liner."|607.45|EUR|289|340
57ec3a73-9a5e-45f6-bb01-fd3003c53f61|Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black|A harness and pull-on straps blend with western lines in this classic boot. Dingo makes great boots whether you are looking for fashion or function! Dingo's boot line is full of styles that will please the western and motorcycle crowds. Dingo boots have a reputation for producing tough yet stylish western boots. Dingo boots, the boot people buy by name. Nobody Puts Leather Together Like Dingo!|519.66|USD|383|109
e7fb6a8c-3767-4cef-a415-286d9d1a3518|"Nature's Answer Echinacea Alcohol Free Extract 1 Fluid Ounce | Promotes Overall Wellness | Natural Immune Booster | Inflammatory Reducer"|Promotes a healthy immune system|628.03|EUR|657|465
249a110b-526a-4366-a952-73b8c2eeb1cb|FTL GU10 Led Bulb 5000K Daylight White Dimmable Spot Light 6W 600LM 50W Halogen Replacement Bulbs for Track Lighting, Ceiling Recessed Lighting, 6-Pack|About this item ✔Energy Saving: FTL dimmable gu10 led bulb 5000k only uses 6 watts, it can replace 50w-60w halogen bulbs, saving over 90% electricity bill. ✔Excellent Dimming: The 6w gu10 led bulbs dimmable daylight white color can be dimmed from 10-100%. The gu10 bulb is compatible with many dimmers. No buzzing, no humming. ✔Easy Installation: Standard mr16 shape gu10 base two prong light bulb, easy to replace your existing led track light bulbs or recessed ceiling light bulbs, just screw in, plug and play. ✔Long Lifespan: High quality driver and LED chips, 25,000 hours lifespan, saving your time to replace the led gu10 bulbs frequently. ✔Wide Application: With 600lm super brightness, the led gu10 light bulb could be widely used as track lighting, recessed lighting, oven range hood light bulbs, kitchen light bulb, table lamps...... › See more product details|645.15|USD|258|373
be51b3b9-4a93-4f87-8b18-f89c4935e251|Microsoft Surface Laptop 4|The Microsoft Surface Laptop 4 features a sleek design, Intel Core i7 processor, high-resolution PixelSense touchscreen, and long-lasting battery life.|1599.99|USD|3000|3
f951521c-86eb-4318-aa5c-fdf65c446a9e|Signature Fitness Rubber Coated Hex Dumbbell Weight Set and Storage Rack, Multiple Packages|About this item Signature Fitness Rubber Encased Hex Dumbbell, 90-Pound Set: A pair of 10LB, 15LB and 20LB Dumbbells are widely used in gyms and homes for various exercise purposes, a great tool for either full body workout, or specific muscle groups High quality solid cast dumbbell encased in rubber, dumbbells will last throughout the years while protect your floor Solid metal chrome finish contoured (ergo) handles designed to fit comfortably. Textured handle provides a tight and secure grip Hexagon shape rubber encased heads help prevent rolling and provide easier storage|138.91|EUR|271|910
c508b4d9-3496-4017-a786-395bc55959cc|Bose QuietComfort 45|Bose QuietComfort 45 headphones are known for their exceptional noise cancellation and premium sound, offering up to 24 hours of wireless use.|329.99|USD|3500|2
8747d94b-b47e-453f-8f77-2520a7d455f4|P&G Professional Deep Clean Restroom Cleaner by Comet Professional, Dilute2Go, 4.5 Liter Bottle, Deep-Clean: 4.5 Liters|Comet Deep Clean removes soap scum, greasy soil, delivering a noticeable clean versus the leading competitor. Perfect for cleaning toilets, urinals, soap scum and hard water stains.|686.09|USD|265|683
97a4b1fc-4ec6-47f2-bebd-cb5192ae5b9e|Nikon Z9 Mirrorless Camera|Nikon Z9 Mirrorless Camera offers the ultimate in professional photography with a 45.7MP full-frame sensor, 8K video, and unmatched autofocus capabilities.|5499.99|USD|500|1
56f04851-e3da-40c9-929e-d1fb97f1e156|Fruit of the Loom Women's 5 Pack Microfiber Low Rise Hipster Panties|Smooth, sleek microfiber designed to disappear under your clothes. A perfect addition for your everyday needs.|73.87|EUR|12|582
